title,year,actor,country,describe,genre,num,rating
入殓师,2008,导演: 泷田洋二郎 Y??jir?? Takita??????主演: 本木雅弘 Masahiro Motoki / ...,日本,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,剧情,412772人评价,8.8
致命ID,2003,导演: James Mangold??????主演: John Cusack / Ray Liotta / Amanda Peet,美国,最不可能的那个人永远是最可能的。,剧情 悬疑 惊悚,475024人评价,8.8
断背山,2005,导演: 李安 Ang Lee??????主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,美国 加拿大,每个人心中都有一座断背山。,剧情 爱情 同性 家庭,468340人评价,8.8
阳光灿烂的日子,1994,导演: 姜文 Wen Jiang??????主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,中国大陆 中国香港,一场华丽的意淫。,剧情 爱情,395175人评价,8.8
喜剧之王,1999,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee??????主演: 周星驰 Stephen Ch...,中国香港,我是一个演员。,喜剧 剧情 爱情,546740人评价,8.7
重庆森林,1994,导演: 王家卫 Kar Wai Wong??????主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,中国香港,寂寞没有期限。,剧情 爱情,492126人评价,8.7
第六感,1999,导演: M·奈特·沙马兰 M. Night Shyamalan??????主演: 布鲁斯·威利斯 Bruce Wi...,美国,深入内心的恐怖，出人意料的结局。,剧情 悬疑 惊悚,340012人评价,8.8
狩猎,2012,导演: 托马斯·温特伯格 Thomas Vinterberg??????主演: 麦斯·米科尔森 Mads Mik...,丹麦 瑞典,人言可畏。,剧情,206443人评价,9.1
玛丽和马克思,2009,导演: 亚当·艾略特 Adam Elliot??????主演: 托妮·科莱特 Toni Collette / 菲利...,澳大利亚,你是我最好的朋友，你是我唯一的朋友 。,剧情 喜剧 动画,298736人评价,8.9
消失的爱人,2014,导演: 大卫·芬奇 David Fincher??????主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,美国,年度最佳date movie。,剧情 犯罪 悬疑 惊悚,550747人评价,8.7
杀人回忆,2003,导演: 奉俊昊 Joon-ho Bong??????主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,韩国,关于连环杀人悬案的集体回忆。,犯罪 剧情 悬疑 惊悚,362925人评价,8.8
小森林 夏秋篇,2014,导演: 森淳一 Junichi Mori??????主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,日本,那些静得只能听见呼吸的日子里，你明白孤独即生活。,剧情,241235人评价,9
海蒂和爷爷,2015,导演: 阿兰·葛斯彭纳 Alain Gsponer??????主演: 阿努克·斯特芬 Anuk Steffen /...,德国 瑞士 南非,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,剧情 冒险 家庭,165852人评价,9.2
告白,2010,导演: 中岛哲也 Tetsuya Nakashima??????主演: 松隆子 Takako Matsu / 冈田将生 ...,日本,没有一人完全善，也没有一人完全恶。,剧情 惊悚,484654人评价,8.7
请以你的名字呼唤我,2017,导演: 卢卡·瓜达尼诺 Luca Guadagnino??????主演: 艾米·汉莫 Armie Hammer / ...,意大利 法国 巴西 美国 荷兰 德国,沉醉在电影的情感和视听氛围中无法自拔。,剧情 爱情 同性,351844人评价,8.8
大鱼,2003,导演: 蒂姆·波顿 Tim Burton??????主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,美国,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,剧情 家庭 奇幻 冒险,363767人评价,8.8
一一,2000,导演: 杨德昌 Edward Yang??????主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,中国台湾 日本,我们都曾经是一一。,剧情 爱情 家庭,218197人评价,9
爱在黎明破晓前,1995,导演: 理查德·林克莱特 Richard Linklater??????主演: 伊桑·霍克 Ethan Hawke ...,美国 奥地利 瑞士,缘分是个连绵词，最美不过一瞬。,剧情 爱情,343900人评价,8.8
阳光姐妹淘,2011,导演: 姜炯哲 Hyeong-Cheol Kang??????主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,韩国,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,剧情 喜剧,395319人评价,8.8
射雕英雄传之东成西就,1993,导演: 刘镇伟 Jeffrey Lau??????主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,中国香港,百看不厌。 ,喜剧 奇幻 武侠 古装,401527人评价,8.7
红辣椒,2006,导演: 今敏 Satoshi Kon??????主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,日本,梦的勾结。,动画 悬疑 科幻 惊悚,225231人评价,9
侧耳倾听,1995,导演: 近藤喜文 Yoshifumi Kondo??????主演: 本名阳子 Youko Honna / 小林桂树 K...,日本,少女情怀总是诗。,剧情 爱情 动画,270961人评价,8.9
甜蜜蜜,1996,导演: 陈可辛 Peter Chan??????主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,中国香港,相逢只要一瞬间，等待却像是一辈子。,剧情 爱情,319845人评价,8.8
7号房的礼物,2013,导演: 李焕庆 Hwan-kyeong Lee??????主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,韩国,《我是山姆》的《美丽人生》。,剧情 喜剧 家庭,297365人评价,8.8
倩女幽魂,1987,导演: 程小东 Siu-Tung Ching??????主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,中国香港,两张绝世的脸。 ,爱情 奇幻 武侠 古装,422775人评价,8.7
驯龙高手,2010,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders??????主演:...,美国,和谐的生活离不开摸头与被摸头。,动画 奇幻 冒险,460248人评价,8.7
哈利·波特与死亡圣器(下),2011,导演: 大卫·叶茨 David Yates??????主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,美国 英国,10年的完美句点。,剧情 悬疑 奇幻 冒险,431423人评价,8.8
超脱,2011,导演: 托尼·凯耶 Tony Kaye??????主演: 艾德里安·布洛迪 Adrien Brody / 马西...,美国,穷尽一生，我们要学会的，不过是彼此拥抱。,剧情,271661人评价,8.8
小森林 冬春篇,2015,导演: 森淳一 Junichi Mori??????主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,日本,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,剧情,209020人评价,9
恐怖直播,2013,导演: 金秉祐 Byeong-woo Kim??????主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,韩国,恐怖分子的“秋菊打官司”。,剧情 犯罪 悬疑,370036人评价,8.8
菊次郎的夏天,1999,导演: 北野武 Takeshi Kitano??????主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,日本,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,剧情 喜剧,301955人评价,8.8
蝙蝠侠：黑暗骑士崛起,2012,导演: 克里斯托弗·诺兰 Christopher Nolan??????主演: 克里斯蒂安·贝尔 Christ...,美国 英国,诺兰就是保证。,剧情 动作 科幻 犯罪 惊悚,437365人评价,8.7
爱在日落黄昏时,2004,导演: 理查德·林克莱特 Richard Linklater??????主演: 伊桑·霍克 Ethan Hawke ...,美国,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,剧情 爱情,300015人评价,8.8
萤火之森,2011,导演: 大森贵弘 Takahiro Omori??????主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,日本,触不到的恋人。,剧情 爱情 动画 奇幻,280428人评价,8.8
幸福终点站,2004,导演: 史蒂文·斯皮尔伯格 Steven Spielberg??????主演: 汤姆·汉克斯 Tom Hanks...,美国,有时候幸福需要等一等。 ,喜剧 剧情 爱情,325103人评价,8.8
唐伯虎点秋香,1993,导演: 李力持 Lik-Chi Lee??????主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,中国香港,华太师是黄霑，吴镇宇四大才子之一。,喜剧 爱情 古装,583715人评价,8.6
风之谷,1984,导演: 宫崎骏 Hayao Miyazaki??????主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,日本,动画片的圣经。,动画 奇幻 冒险,253838人评价,8.8
